Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;NS_Fixed_Wind;NS_Floating_Wind;Storage
264;1;1;1;0.039434271;0.219026613;0.219026613;0;0.514034971;0.514034971;1
265;1;1;1;0.043060171;0.251661232;0.251661232;0;0.529067998;0.529067998;1
266;1;1;1;0.045491547;0.276998701;0.276998701;0;0.539864796;0.539864796;1
267;1;1;1;0.04723251;0.306383341;0.306383341;0;0.557380014;0.557380014;1
268;1;1;1;0.046473804;0.322892977;0.322892977;0;0.570579552;0.570579552;1
269;1;1;1;0.049363216;0.32795203;0.32795203;0;0.577336704;0.577336704;1
270;1;1;1;0.052441539;0.323810365;0.323810365;0;0.566293748;0.566293748;1
271;1;1;1;0.055661871;0.304723035;0.304723035;0;0.55904749;0.55904749;1
272;1;1;1;0.058888211;0.292180001;0.292180001;2.86E-09;0.571087517;0.571087517;1
273;1;1;1;0.06007189;0.284267409;0.284267409;0.005112937;0.565152807;0.565152807;1
274;1;1;1;0.065764652;0.284845195;0.284845195;0.033629446;0.559787479;0.559787479;1
275;1;1;1;0.053194447;0.279186726;0.279186726;0.061856555;0.544900283;0.544900283;1
276;1;1;1;0.051607222;0.266480617;0.266480617;0.09470147;0.546166983;0.546166983;1
277;1;1;1;0.055036277;0.262263286;0.262263286;0.099037195;0.543922498;0.543922498;1
278;1;1;1;0.062662894;0.279278886;0.279278886;0.086303262;0.538446721;0.538446721;1
279;1;1;1;0.065740594;0.300258986;0.300258986;0.061314567;0.563701481;0.563701481;1
280;1;1;1;0.07158074;0.316159552;0.316159552;0.029067754;0.592271189;0.592271189;1
281;1;1;1;0.084544326;0.34029981;0.34029981;0.003492912;0.606606211;0.606606211;1
282;1;1;1;0.094230452;0.351309393;0.351309393;0;0.612607735;0.612607735;1
283;1;1;1;0.101222829;0.364435453;0.364435453;0;0.613270548;0.613270548;1
284;1;1;1;0.10586747;0.376768795;0.376768795;0;0.613126376;0.613126376;1
285;1;1;1;0.110672313;0.384668608;0.384668608;0;0.62175822;0.62175822;1
286;1;1;1;0.117597366;0.387855507;0.387855507;0;0.633030859;0.633030859;1
287;1;1;1;0.09875867;0.302564945;0.302564945;0;0.602313774;0.602313774;1
288;1;1;1;0.111069596;0.321329674;0.321329674;0;0.636864079;0.636864079;1
289;1;1;1;0.11838727;0.354210962;0.354210962;0;0.653049376;0.653049376;1
290;1;1;1;0.127136909;0.375500223;0.375500223;0;0.664491546;0.664491546;1
291;1;1;1;0.138244305;0.387734645;0.387734645;0;0.672309325;0.672309325;1
292;1;1;1;0.146960463;0.42189504;0.42189504;0;0.670971186;0.670971186;1
293;1;1;1;0.156969632;0.445685021;0.445685021;0;0.677415062;0.677415062;1
294;1;1;1;0.170277939;0.467175342;0.467175342;0;0.683874471;0.683874471;1
295;1;1;1;0.185438375;0.473974243;0.473974243;0;0.683019117;0.683019117;1
296;1;1;1;0.202014171;0.49101566;0.49101566;7.21E-09;0.690024908;0.690024908;1
297;1;1;1;0.213845179;0.507420793;0.507420793;0.00666083;0.697929216;0.697929216;1
298;1;1;1;0.220371158;0.521297353;0.521297353;0.073857736;0.705489012;0.705489012;1
299;1;1;1;0.21304654;0.496397137;0.496397137;0.143970645;0.737441385;0.737441385;1
300;1;1;1;0.206013259;0.484173066;0.484173066;0.201650832;0.728325828;0.728325828;1
301;1;1;1;0.199166758;0.469718582;0.469718582;0.209532944;0.695904623;0.695904623;1
302;1;1;1;0.20030812;0.476036668;0.476036668;0.201281056;0.656988944;0.656988944;1
